V_range: 0-5V, V_Step: 0.05V, Delay: 50 ms
Date : 2021-12-07
voltage current
0.056 0.097
0.051 0.000
0.103 -0.005
0.143 0.000
0.199 -0.002
0.239 0.000
0.287 -0.004
0.325 -0.001
0.380 -0.008
0.425 -0.002
0.478 0.002
0.535 -0.004
0.578 -0.011
0.630 -0.001
0.670 0.003
0.733 0.021
0.757 0.034
0.844 0.000
0.869 -0.006
0.933 -0.005
1.007 -0.001
1.011 -0.005
1.085 -0.009
1.120 -0.003
1.197 0.000
1.213 -0.009
1.277 -0.002
1.306 -0.006
1.371 -0.003
1.400 0.003
1.465 -0.003
1.521 -0.001
1.565 -0.003
1.610 -0.001
1.668 0.000
1.733 -0.004
1.766 0.002
1.831 -0.007
1.862 -0.000
1.907 -0.003
1.986 -0.010
2.015 0.003
2.069 -0.004
2.094 0.004
2.163 -0.000
2.210 -0.008
2.260 -0.001
2.311 -0.001
2.368 0.013
2.407 0.060
2.444 0.171
2.463 0.352
2.479 0.526
2.502 0.762
2.508 0.919
2.522 1.197
2.538 1.382
2.549 1.644
2.556 1.879
2.568 2.130
2.580 2.493
2.584 2.696
2.591 2.957
2.595 3.198
2.609 3.514
2.614 3.731
2.611 4.049
2.630 4.286
2.637 4.591
2.642 4.806
2.649 5.113
2.655 5.443
2.661 5.670
2.665 5.979
2.670 6.217
2.675 6.528
2.679 6.766
2.686 7.068
2.688 7.302
2.694 7.608
2.700 7.935
2.704 8.157
2.709 8.485
2.713 8.719
2.717 9.031
2.721 9.273
2.725 9.591
2.730 9.826
2.736 10.140
2.738 10.377
2.743 10.705
2.748 11.034
2.749 11.285
2.756 11.606
2.759 11.828
2.764 12.161
2.767 12.393
2.772 12.735
2.776 12.963
2.780 13.300
2.785 13.636
