V_range: 0-5V, V_Step: 0.05V, Delay: 50 ms
Date : 2021-12-07
voltage current
0.053 0.105
0.050 -0.002
0.105 -0.000
0.143 -0.008
0.201 0.000
0.236 -0.000
0.294 0.005
0.323 -0.007
0.380 0.001
0.420 0.007
0.474 0.002
0.534 -0.003
0.575 0.005
0.629 -0.004
0.670 0.002
0.725 0.012
0.764 0.043
0.844 0.001
0.886 0.006
0.928 -0.009
1.007 -0.008
1.024 -0.000
1.083 -0.004
1.125 0.005
1.197 -0.004
1.209 0.002
1.267 -0.004
1.302 0.001
1.385 -0.010
1.410 -0.004
1.461 -0.005
1.517 -0.003
1.578 -0.000
1.630 0.004
1.649 0.006
1.722 0.044
1.740 0.105
1.785 0.217
1.810 0.330
1.816 0.583
1.850 0.822
1.854 1.014
1.874 1.283
1.884 1.446
1.883 1.773
1.900 1.956
1.903 2.226
1.906 2.453
1.927 2.740
1.928 2.935
1.926 3.279
1.944 3.579
1.948 3.808
1.952 4.107
1.966 4.357
1.968 4.657
1.973 4.881
1.976 5.201
1.985 5.401
1.993 5.745
1.996 6.068
2.004 6.242
2.007 6.572
2.013 6.831
2.018 7.120
2.023 7.369
2.022 7.700
2.036 7.918
2.042 8.239
2.045 8.464
2.052 8.789
2.058 9.120
2.061 9.352
2.065 9.671
2.069 9.903
2.073 10.224
2.077 10.456
2.083 10.775
2.085 11.012
2.091 11.328
2.097 11.662
2.099 11.897
2.104 12.217
2.107 12.445
2.111 12.785
2.116 12.995
2.118 13.327
2.122 13.565
2.126 13.880
2.131 14.108
2.136 14.434
2.140 14.767
2.143 15.011
2.149 15.336
2.152 15.568
2.156 15.894
2.160 16.128
2.166 16.451
2.168 16.692
2.173 17.018
2.178 17.354
