V_range: 0-5V, V_Step: 0.05V, Delay: 50 ms
Date : 2021-12-07
voltage current
0.051 0.134
0.049 -0.005
0.105 -0.003
0.145 0.003
0.199 -0.008
0.236 -0.000
0.294 0.001
0.324 0.001
0.381 -0.001
0.419 0.007
0.472 -0.002
0.536 -0.001
0.579 -0.000
0.632 0.004
0.674 0.000
0.733 0.018
0.765 0.032
0.835 -0.010
0.875 -0.008
0.923 -0.007
0.985 0.002
1.032 -0.007
1.104 0.007
1.127 -0.005
1.196 0.001
1.233 -0.013
1.267 -0.001
1.302 -0.008
1.369 0.001
1.409 0.004
1.455 0.013
1.515 0.026
1.554 0.112
1.604 0.180
1.625 0.309
1.650 0.525
1.657 0.710
1.667 0.922
1.690 1.123
1.697 1.422
1.703 1.693
1.702 1.895
1.724 2.155
1.729 2.393
1.731 2.667
1.747 2.858
1.757 3.176
1.758 3.332
1.776 3.674
1.772 3.857
1.784 4.190
1.790 4.518
1.789 4.754
1.808 5.017
1.803 5.242
1.821 5.554
1.816 5.798
1.827 6.087
1.836 6.336
1.841 6.672
1.846 6.985
1.855 7.194
1.861 7.531
1.859 7.759
1.872 8.057
1.868 8.302
1.868 8.607
1.887 8.829
1.894 9.145
1.898 9.376
1.904 9.689
1.910 10.011
1.914 10.258
1.920 10.565
1.922 10.794
1.928 11.107
1.933 11.331
1.939 11.646
1.941 11.884
1.948 12.194
1.954 12.534
1.958 12.761
1.961 13.089
1.966 13.316
1.970 13.627
1.974 13.846
1.981 14.177
1.983 14.412
1.991 14.721
1.993 14.964
1.998 15.278
2.004 15.629
2.007 15.845
2.013 16.166
2.017 16.391
2.021 16.718
2.025 16.962
2.031 17.276
2.035 17.519
2.040 17.834
2.045 18.166
