V_range: 0-5V, V_Step: 0.05V, Delay: 50 ms
Date : 2021-12-07
voltage current
0.005 2.137
0.013 0.223
0.037 0.405
0.047 0.582
0.070 0.807
0.085 0.913
0.112 1.104
0.123 1.250
0.146 1.440
0.151 1.569
0.178 1.809
0.192 2.063
0.213 2.242
0.241 2.411
0.248 2.657
0.276 2.792
0.277 3.016
0.314 3.300
0.329 3.345
0.358 3.622
0.377 3.829
0.387 3.942
0.427 4.155
0.437 4.289
0.461 4.531
0.454 4.687
0.485 4.928
0.515 5.022
0.525 5.335
0.534 5.532
0.556 5.727
0.592 5.815
0.585 6.110
0.613 6.174
0.637 6.397
0.648 6.531
0.675 6.761
0.683 7.000
0.695 7.102
0.726 7.298
0.741 7.590
0.747 7.678
0.792 7.912
0.795 8.057
0.809 8.284
0.838 8.410
0.863 8.625
0.866 8.789
0.891 9.043
0.917 9.189
0.937 9.436
0.960 9.652
0.966 9.783
0.997 9.994
1.007 10.173
1.030 10.397
1.043 10.555
1.067 10.760
1.080 10.931
1.102 11.145
1.129 11.391
1.142 11.533
1.170 11.761
1.180 11.902
1.207 12.121
1.215 12.295
1.246 12.507
1.260 12.682
1.285 12.904
1.298 13.068
1.321 13.279
1.344 13.494
1.358 13.657
1.382 13.866
1.394 14.025
1.417 14.250
1.432 14.396
1.453 14.616
1.471 14.772
1.491 14.988
1.513 15.220
1.531 15.362
1.551 15.592
1.569 15.744
1.591 15.964
1.604 16.129
1.628 16.331
1.643 16.502
1.668 16.712
1.680 16.882
1.702 17.096
1.726 17.326
1.741 17.485
1.764 17.696
1.780 17.861
1.802 18.085
1.816 18.246
1.840 18.460
1.855 18.621
1.877 18.843
1.900 19.063
