V_range: 0-5V, V_Step: 0.05V, Delay: 50 ms
Date : 2021-12-07
voltage current
0.051 0.119
0.050 -0.003
0.104 -0.006
0.143 -0.013
0.197 -0.006
0.237 -0.006
0.287 0.004
0.323 0.006
0.382 0.000
0.426 0.000
0.474 -0.003
0.534 -0.000
0.579 -0.000
0.636 -0.003
0.666 0.002
0.724 0.024
0.764 0.040
0.834 -0.003
0.871 -0.005
0.925 -0.005
0.981 0.004
1.026 0.003
1.069 0.006
1.122 -0.004
1.192 0.003
1.232 0.005
1.266 0.003
1.307 -0.003
1.365 -0.005
1.412 0.006
1.467 -0.001
1.533 0.002
1.568 0.010
1.612 0.025
1.646 0.092
1.687 0.188
1.700 0.321
1.732 0.472
1.743 0.676
1.762 0.923
1.789 1.227
1.785 1.424
1.797 1.702
1.806 1.872
1.814 2.138
1.822 2.405
1.831 2.675
1.842 2.885
1.850 3.218
1.850 3.446
1.866 3.703
1.862 4.069
1.872 4.227
1.883 4.599
1.883 4.806
1.892 5.129
1.897 5.304
1.902 5.661
1.906 5.883
1.914 6.158
1.921 6.531
1.927 6.756
1.931 7.073
1.937 7.283
1.938 7.596
1.945 7.825
1.954 8.164
1.958 8.399
1.962 8.723
1.967 8.977
1.972 9.268
1.976 9.607
1.981 9.842
1.986 10.152
1.988 10.390
1.992 10.705
1.998 10.946
2.002 11.269
2.005 11.509
2.011 11.819
2.015 12.145
2.019 12.384
2.022 12.711
2.027 12.948
2.031 13.265
2.032 13.505
2.039 13.822
2.042 14.063
2.046 14.369
2.049 14.608
2.053 14.940
2.059 15.272
2.063 15.501
2.068 15.826
2.069 16.062
2.075 16.391
2.078 16.633
2.082 16.959
2.086 17.199
2.091 17.524
2.095 17.852
